"","play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","desc","game_date","qtr","game_seconds_remaining","play_type","yards_gained","total_yards_gained","play_num","avg_yds_per_play","run","pass","total_run_yards","total_pass_yards","num_runs","num_passes","run_yards_gained","pass_yards_gained","run_greater_than_2yds","pass_greater_than_2yds","num_runs_greater_than_2yds","num_passes_greater_than_2yds","prop_runs_greater_than_2_yards","prop_passes_greater_than_2_yards","avg_yards_per_run","avg_yards_per_pass","completion_percentage","two_point_conv_result","two_point_conversion_prob","two_point_attempt","defensive_two_point_attempt","defensive_two_point_conv","kicker_player_name","kicker_player_id","blocked_player_id","blocked_player_name","extra_point_result","extra_point_prob","extra_point_attempt","defensive_extra_point_attempt","defensive_extra_point_conv","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","ydsnet","ep","epa","shotgun","qb_dropback","team_favorite_id","spread_favorite","over_under_line","stadium","stadium_neutral","weather_temperature","weather_wind_mph","weather_humidity","weather_detail","pass_location","run_location"
"1",2996,2009091306,"IND","JAC","JAC","away","IND",12,14,-2,12,14,-2,"TWO-POINT CONVERSION ATTEMPT. M.Jones-Drew rushes up the middle. ATTEMPT FAILS. 32 Jones-Drew at quarterback on the two-point conversion.",2009-09-13,4,667,"run",0,217,49,4.42857142857143,1,0,105,120,25,24,0,0,0,0,15,10,0.6,0.416666666666667,4.2,5,0.583333333333333,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.443778338504424,0.556221661495576,0.556221661495576,0.443778338504424,-0.0269954175529346,0.583217079048511,0.416782920951489,58,0.947,-0.947,0,0,"IND",-6,45,"Lucas Oil Stadium",FALSE,72,0,"","DOME",NA,NA
"2",3721,2009091303,"CIN","DEN","DEN","away","CIN",12,7,5,12,7,5,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. K.Orton pass to B.Marshall is incomplete. ATTEMPT FAILS.",2009-09-13,4,11,"pass",0,302,52,5.80769230769231,0,1,75,243,20,32,0,0,0,0,10,16,0.5,0.5,3.75,7.59375,0.65625,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.958720510236913,0.0412794897630875,0.0412794897630875,0.958720510236913,-0.0390573969699268,0.0803368867330143,0.919663113266986,87,0.947,-0.947,0,1,"CIN",-5,41,"Paul Brown Stadium",FALSE,71,8,"55","",NA,NA
"3",3768,2009091312,"GB","CHI","GB","home","CHI",19,15,4,21,15,6,"TWO-POINT CONVERSION ATTEMPT. A.Rodgers pass to G.Jennings is complete. ATTEMPT SUCCEEDS. The Replay Assistant challenged the pass completion ruling, and the play was Upheld.",2009-09-13,4,71,"pass",2,230,53,4.33962264150943,0,1,78,186,20,33,0,2,0,0,11,16,0.55,0.484848484848485,3.9,5.63636363636364,0.666666666666667,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.932944157952834,0.0670558420471661,0.932944157952834,0.0670558420471661,0.00800861187104196,0.940952769823876,0.0590472301761241,72,0.947,1.053,0,1,"GB",-5,47,"Lambeau Field",FALSE,80,5,"69","",NA,NA
"4",3778,2009091400,"NE","BUF","NE","home","BUF",19,23,-4,19,23,-4,"TWO-POINT CONVERSION ATTEMPT. T.Brady pass to B.Watson is incomplete. ATTEMPT FAILS.",2009-09-14,4,126,"pass",0,410,75,5.46666666666667,0,1,73,347,23,52,0,0,0,0,12,34,0.521739130434783,0.653846153846154,3.17391304347826,6.67307692307692,0.75,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.257564397890225,0.742435602109775,0.257564397890225,0.742435602109775,-0.0748742230950709,0.182690174795154,0.817309825204846,81,0.947,-0.947,0,1,"NE",-13.5,47.5,"Gillette Stadium",FALSE,73,11,"56","",NA,NA
"5",3918,2009091400,"NE","BUF","NE","home","BUF",25,23,2,25,23,2,"TWO-POINT CONVERSION ATTEMPT. T.Brady pass to R.Moss is incomplete. ATTEMPT FAILS.",2009-09-14,4,50,"pass",0,441,79,5.58227848101266,0,1,73,378,23,56,0,0,0,0,12,37,0.521739130434783,0.660714285714286,3.17391304347826,6.75,0.767857142857143,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.884033164198098,0.115966835801902,0.884033164198098,0.115966835801902,-0.166695154925199,0.717338009272898,0.282661990727102,31,0.947,-0.947,0,1,"NE",-13.5,47.5,"Gillette Stadium",FALSE,73,11,"56","",NA,NA
"6",4425,2009092009,"BUF","TB","TB","away","BUF",20,29,-9,20,29,-9,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. B.Leftwich pass to M.Stovall is incomplete. ATTEMPT FAILS. Underthrown, receiver 7 yds. into end zone on left side.",2009-09-20,4,327,"pass",0,329,62,5.30645161290323,0,1,57,272,19,43,0,0,0,0,10,21,0.526315789473684,0.488372093023256,3,6.32558139534884,0.604651162790698,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.15059664315232,0.84940335684768,0.84940335684768,0.15059664315232,-0.0330001680283649,0.882403524876045,0.117596475123955,80,0.947,-0.947,0,1,"BUF",-4,42,"Ralph Wilson Stadium",FALSE,75,5,"","",NA,NA
"7",3658,2009092702,"DET","WAS","DET","home","WAS",19,7,12,19,7,12,"TWO-POINT CONVERSION ATTEMPT. M.Stafford pass to B.Johnson is incomplete. ATTEMPT FAILS.",2009-09-27,4,326,"pass",0,354,68,5.20588235294118,0,1,151,217,32,36,0,0,0,0,20,19,0.625,0.527777777777778,4.71875,6.02777777777778,0.638888888888889,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.941152680303218,0.0588473196967823,0.941152680303218,0.0588473196967823,-0.0106215979581263,0.930531082345091,0.0694689176549086,85,0.947,-0.947,0,1,"WAS",-6,39.5,"Ford Field",FALSE,72,0,"","DOME",NA,NA
"8",3885,2009092710,"SEA","CHI","CHI","away","SEA",23,19,4,25,19,6,"TWO-POINT CONVERSION ATTEMPT. J.Cutler pass to E.Bennett is complete. ATTEMPT SUCCEEDS.",2009-09-27,4,112,"pass",2,321,57,5.63157894736842,0,1,86,249,27,30,0,2,0,0,13,20,0.481481481481481,0.666666666666667,3.18518518518519,8.3,0.833333333333333,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.866080710741688,0.133919289258312,0.133919289258312,0.866080710741688,0.00151061894147275,0.132408670316839,0.867591329683161,71,0.947,1.053,0,1,"CHI",-2.5,37.5,"CenturyLink Field",FALSE,61,11,"62","",NA,NA
"9",3079,2009092701,"CIN","PIT","CIN","home","PIT",15,20,-5,15,20,-5,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. C.Palmer pass to A.Caldwell is incomplete. ATTEMPT FAILS. {Pass knocked down by L.Woodley (PIT#56)}",2009-09-27,4,554,"pass",0,202,43,4.69767441860465,0,1,88,124,16,27,0,0,0,0,7,12,0.4375,0.444444444444444,5.5,4.59259259259259,0.592592592592593,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.313803931266745,0.686196068733255,0.313803931266745,0.686196068733255,-0.0235486969883053,0.290255234278439,0.709744765721561,85,0.947,-0.947,0,1,"PIT",-3.5,37,"Paul Brown Stadium",FALSE,63,8,"86","",NA,NA
"10",3730,2009092701,"CIN","PIT","CIN","home","PIT",21,20,1,23,20,3,"(Pass formation) TWO-POINT CONVERSION ATTEMPT. C.Palmer pass to B.Leonard is complete. ATTEMPT SUCCEEDS.",2009-09-27,4,14,"pass",2,275,58,4.74137931034483,0,1,100,185,19,39,0,2,0,0,9,19,0.473684210526316,0.487179487179487,5.26315789473684,4.74358974358974,0.615384615384615,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.952332081514259,0.0476679184857406,0.952332081514259,0.0476679184857406,0.0158487988757944,0.968180880390054,0.0318191196099462,71,0.947,1.053,0,1,"PIT",-3.5,37,"Paul Brown Stadium",FALSE,63,8,"86","",NA,NA
"11",3076,2009100404,"JAX","TEN","TEN","away","JAC",9,30,-21,9,30,-21,"TWO-POINT CONVERSION ATTEMPT. K.Collins pass to A.Crumpler is incomplete. ATTEMPT FAILS.",2009-10-04,3,919,"pass",0,270,47,5.74468085106383,0,1,76,194,15,32,0,0,0,0,9,17,0.6,0.53125,5.06666666666667,6.0625,0.6875,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.0288210561297079,0.971178943870292,0.971178943870292,0.0288210561297079,-0.00897320484462249,0.980152148714915,0.0198478512850854,80,0.947,-0.947,0,1,"TEN",-3.5,42,"EverBank Field",FALSE,82,7,"72","",NA,NA
"12",3786,2009100404,"JAX","TEN","TEN","away","JAC",15,30,-15,17,30,-13,"TWO-POINT CONVERSION ATTEMPT. C.Johnson rushes left end. ATTEMPT SUCCEEDS.",2009-10-04,4,328,"run",2,353,62,5.69354838709677,1,0,100,253,19,43,2,0,0,0,11,23,0.578947368421053,0.534883720930233,5.26315789473684,5.88372093023256,0.674418604651163,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.0447012813760594,0.955298718623941,0.955298718623941,0.0447012813760594,NA,NA,NA,77,0.947,1.053,0,0,"TEN",-3.5,42,"EverBank Field",FALSE,82,7,"72","",NA,NA
"13",3418,2009100405,"KC","NYG","KC","home","NYG",9,27,-18,9,27,-18,"TWO-POINT CONVERSION ATTEMPT. M.Cassel rushes up the middle. ATTEMPT FAILS.",2009-10-04,4,566,"run",0,120,44,2.72727272727273,1,0,74,69,20,24,0,0,0,0,10,7,0.5,0.291666666666667,3.7,2.875,0.583333333333333,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.0394416735247258,0.960558326475274,0.0394416735247258,0.960558326475274,-0.00721415010083072,0.0322275234238951,0.967772476576105,48,0.947,-0.947,0,0,"NYG",-9.5,43,"Arrowhead Stadium",FALSE,56,6,"63","",NA,NA
"14",3571,2009100500,"MIN","GB","GB","away","MIN",19,30,-11,19,30,-11,"TWO-POINT CONVERSION ATTEMPT. A.Rodgers pass to R.Grant is incomplete. ATTEMPT FAILS.",2009-10-05,4,220,"pass",0,361,55,6.56363636363636,0,1,82,316,17,38,0,0,0,0,12,18,0.705882352941177,0.473684210526316,4.82352941176471,8.31578947368421,0.789473684210526,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.0680143212735839,0.931985678726416,0.931985678726416,0.0680143212735839,-0.0143003119525314,0.946285990678947,0.0537140093210525,96,0.947,-0.947,0,1,"MIN",-5,46.5,"Mall of America Field",FALSE,72,0,"","DOME",NA,NA
"15",3229,2009101102,"CAR","WAS","CAR","home","WAS",18,17,1,20,17,3,"TWO-POINT CONVERSION ATTEMPT. J.Delhomme pass to S.Smith is complete. ATTEMPT SUCCEEDS.",2009-10-11,4,561,"pass",2,230,52,4.42307692307692,0,1,66,183,24,28,0,2,0,0,12,16,0.5,0.571428571428571,2.75,6.53571428571429,0.75,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.55028424374987,0.44971575625013,0.55028424374987,0.44971575625013,0.0471458332730237,0.597430077022894,0.402569922977106,12,0.947,1.053,0,1,"CAR",-5.5,38,"Bank of America Stadium",FALSE,65,8,"67","",NA,NA
"16",3080,2009110101,"BUF","HOU","HOU","away","BUF",15,10,5,17,10,7,"TWO-POINT CONVERSION ATTEMPT. M.Schaub pass to A.Johnson is complete. ATTEMPT SUCCEEDS. Caught over middle, in back of end zone.",2009-11-01,4,857,"pass",2,342,57,6,0,1,119,238,23,34,0,2,0,0,16,21,0.695652173913043,0.617647058823529,5.17391304347826,7,0.823529411764706,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.699593447951674,0.300406552048326,0.300406552048326,0.699593447951674,0.0592896346655356,0.24111691738279,0.75888308261721,72,0.947,1.053,0,1,"HOU",-3.5,41.5,"Ralph Wilson Stadium",FALSE,48,12,"59","",NA,NA
"17",3018,2009110104,"DET","STL","DET","home","STL",6,12,-6,8,12,-4,"TWO-POINT CONVERSION ATTEMPT. M.Stafford pass to M.Morris is complete. ATTEMPT SUCCEEDS.",2009-11-01,4,831,"pass",2,258,56,4.60714285714286,0,1,99,163,27,29,0,2,0,0,18,13,0.666666666666667,0.448275862068966,3.66666666666667,5.62068965517241,0.551724137931034,"1",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.288159805490075,0.711840194509925,0.288159805490075,0.711840194509925,0.0653301042291813,0.353489909719256,0.646510090280744,82,0.947,1.053,0,1,"DET",-4,43.5,"Ford Field",FALSE,72,0,"","DOME",NA,NA
"18",3286,2009110106,"IND","SF","IND","home","SF",18,14,4,18,14,4,"TWO-POINT CONVERSION ATTEMPT. P.Manning pass to P.Garcon is incomplete. ATTEMPT FAILS.",2009-11-01,4,893,"pass",0,313,58,5.39655172413793,0,1,37,296,13,45,0,0,0,0,6,22,0.461538461538462,0.488888888888889,2.84615384615385,6.57777777777778,0.644444444444444,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.656042773838503,0.343957226161497,0.656042773838503,0.343957226161497,-0.0171953499871154,0.638847423851388,0.361152576148612,70,0.947,-0.947,0,1,"IND",-13.5,44.5,"Lucas Oil Stadium",FALSE,72,0,"","DOME",NA,NA
"19",3114,2009110107,"NYJ","MIA","NYJ","home","MIA",19,23,-4,19,23,-4,"TWO-POINT CONVERSION ATTEMPT. M.Sanchez pass to B.Edwards is incomplete. ATTEMPT FAILS.",2009-11-01,3,995,"pass",0,262,60,4.36666666666667,0,1,96,173,32,28,0,0,0,0,16,13,0.5,0.464285714285714,3,6.17857142857143,0.607142857142857,"0",0.4735,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.378393935502554,0.621606064497446,0.378393935502554,0.621606064497446,-0.0158513701395998,0.362542565362954,0.637457434637046,74,0.947,-0.947,0,1,"NYJ",-3.5,40.5,"Giants Stadium",FALSE,58,13,"59","",NA,NA
